"Entity","Code","Year","hdi","gdp","population_historical","owid_region","dev_status","hdi_band","gdp_band"
"Algeria","DZA",2005,0.692,13738.496,33109211,"Africa","Developing","Medium","High-income"
"Algeria","DZA",2006,0.698,13920.694,33623459,"Africa","Developing","Medium","High-income"
"Algeria","DZA",2007,0.704,14114.675,34189375,"Africa","Developing","High","High-income"
"Algeria","DZA",2008,0.711,14206.776,34816912,"Africa","Developing","High","High-income"
"Algeria","DZA",2009,0.714,14104.428,35490399,"Africa","Developing","High","High-income"
"Algeria","DZA",2010,0.718,14496.421,36188192,"Africa","Developing","High","High-income"
"Algeria","DZA",2011,0.718,14641.964,36903328,"Africa","Developing","High","High-income"
"Algeria","DZA",2012,0.723,14697.54,37646120,"Africa","Developing","High","High-income"
"Algeria","DZA",2013,0.727,14778.191,38414134,"Africa","Developing","High","High-income"
"Algeria","DZA",2014,0.732,15073.763,39204992,"Africa","Developing","High","High-income"
"Algeria","DZA",2015,0.737,15239.518,40019473,"Africa","Developing","High","High-income"
"Algeria","DZA",2016,0.743,15511.686,40850673,"Africa","Developing","High","High-income"
"Algeria","DZA",2017,0.746,15427.664,41689261,"Africa","Developing","High","High-income"
"Algeria","DZA",2018,0.749,15343.426,42504975,"Africa","Developing","High","High-income"
"Algeria","DZA",2019,0.753,15199.199,43294503,"Africa","Developing","High","High-income"
"Algeria","DZA",2020,0.742,14194.155,44042041,"Africa","Developing","High","High-income"
"Algeria","DZA",2021,0.755,14496.865,44761051,"Africa","Developing","High","High-income"
"Algeria","DZA",2022,0.761,14782.2,45477339,"Africa","Developing","High","High-income"
"Algeria","DZA",2023,0.763,15159.324,46164169,"Africa","Developing","High","High-income"
"Andorra","AND",2000,0.825,54809.145,65653,"Europe","Developed","Very High","High-income"
"Andorra","AND",2001,0.832,59109.016,65826,"Europe","Developed","Very High","High-income"
"Andorra","AND",2002,0.838,61188.637,66469,"Europe","Developed","Very High","High-income"
"Andorra","AND",2003,0.84,63656.195,69456,"Europe","Developed","Very High","High-income"
"Andorra","AND",2004,0.849,64353.484,74295,"Europe","Developed","Very High","High-income"
"Andorra","AND",2005,0.842,65114.805,77390,"Europe","Developed","Very High","High-income"
"Andorra","AND",2006,0.851,66390.3,79552,"Europe","Developed","Very High","High-income"
"Andorra","AND",2007,0.859,65534.117,81850,"Europe","Developed","Very High","High-income"
"Andorra","AND",2008,0.864,60691.605,83468,"Europe","Developed","Very High","High-income"
"Andorra","AND",2009,0.866,57203.973,83863,"Europe","Developed","Very High","High-income"
"Andorra","AND",2010,0.87,58285.06,80679,"Europe","Developed","Very High","High-income"
"Andorra","AND",2011,0.875,60470.465,77749,"Europe","Developed","Very High","High-income"
"Andorra","AND",2012,0.876,58172.133,76812,"Europe","Developed","Very High","High-income"
"Andorra","AND",2013,0.862,57332.16,75175,"Europe","Developed","Very High","High-income"
"Andorra","AND",2014,0.866,59929.246,73701,"Europe","Developed","Very High","High-income"
"Andorra","AND",2015,0.869,62105.152,72151,"Europe","Developed","Very High","High-income"
"Andorra","AND",2016,0.872,64402.81,72144,"Europe","Developed","Very High","High-income"
"Andorra","AND",2017,0.873,63239.656,73730,"Europe","Developed","Very High","High-income"
"Andorra","AND",2018,0.875,63048.598,75145,"Europe","Developed","Very High","High-income"
"Andorra","AND",2019,0.876,63215.9,76436,"Europe","Developed","Very High","High-income"
"Andorra","AND",2020,0.851,55488.492,77343,"Europe","Developed","Very High","High-income"
"Andorra","AND",2021,0.871,59332.203,78328,"Europe","Developed","Very High","High-income"
"Andorra","AND",2022,0.893,63913.383,79675,"Europe","Developed","Very High","High-income"
"Andorra","AND",2023,0.913,64631.297,80825,"Europe","Developed","Very High","High-income"
"Angola","AGO",1999,0.379,6021.229,15667183,"Africa","Developing","Low","Upper-middle"
"Angola","AGO",2000,0.391,6002.9893,16194813,"Africa","Developing","Low","Upper-middle"
"Angola","AGO",2001,0.401,6049.163,16747158,"Africa","Developing","Low","Upper-middle"
"Angola","AGO",2002,0.417,6645.4775,17327653,"Africa","Developing","Low","Upper-middle"
"Angola","AGO",2003,0.435,6609.215,17943666,"Africa","Developing","Low","Upper-middle"
"Angola","AGO",2004,0.448,7074.026,18600378,"Africa","Developing","Low","Upper-middle"
"Angola","AGO",2005,0.463,7845.89,19291121,"Africa","Developing","Low","Upper-middle"
"Angola","AGO",2006,0.475,8435.455,20015238,"Africa","Developing","Low","Upper-middle"
"Angola","AGO",2007,0.492,9263.98,20778519,"Africa","Developing","Low","Upper-middle"
"Angola","AGO",2008,0.504,9916.909,21578610,"Africa","Developing","Low","Upper-middle"
"Angola","AGO",2009,0.517,9629.092,22414715,"Africa","Developing","Low","Upper-middle"
"Angola","AGO",2010,0.528,9672.839,23294781,"Africa","Developing","Low","Upper-middle"
"Angola","AGO",2011,0.545,9627.0205,24218306,"Africa","Developing","Low","Upper-middle"
"Angola","AGO",2012,0.557,10051.34,25177351,"Africa","Developing","Medium","Upper-middle"
"Angola","AGO",2013,0.567,10150.916,26165566,"Africa","Developing","Medium","Upper-middle"
"Angola","AGO",2014,0.577,10250.593,27160719,"Africa","Developing","Medium","Upper-middle"
"Angola","AGO",2015,0.603,9980.93,28157754,"Africa","Developing","Medium","Upper-middle"
"Angola","AGO",2016,0.609,9381.81,29183023,"Africa","Developing","Medium","Upper-middle"
"Angola","AGO",2017,0.61,9042.117,30234791,"Africa","Developing","Medium","Upper-middle"
"Angola","AGO",2018,0.611,8620.215,31297103,"Africa","Developing","Medium","Upper-middle"
"Angola","AGO",2019,0.611,8274.543,32375581,"Africa","Developing","Medium","Upper-middle"
"Angola","AGO",2020,0.61,7556.968,33451100,"Africa","Developing","Medium","Upper-middle"
"Angola","AGO",2021,0.609,7408.1265,34532382,"Africa","Developing","Medium","Upper-middle"
"Angola","AGO",2022,0.615,7397.4863,35634984,"Africa","Developing","Medium","Upper-middle"
"Angola","AGO",2023,0.616,7244.893,36749852,"Africa","Developing","Medium","Upper-middle"
"Antigua and Barbuda","ATG",2007,0.827,33251.973,81679,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2008,0.83,32762.914,82880,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2009,0.827,28411.39,84138,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2010,0.828,25831.814,85286,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2011,0.828,25028.967,86296,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2012,0.833,25597.994,87228,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2013,0.835,25211.924,88018,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2014,0.837,25565.965,88730,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2015,0.839,25748.625,89367,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2016,0.842,26637.418,89929,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2017,0.845,27143.041,90435,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2018,0.85,28884.121,90889,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2019,0.851,29636.893,91328,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2020,0.84,23915.162,91818,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2021,0.843,25733.295,92316,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2022,0.848,28033.13,92804,"North America","Developed","Very High","High-income"
"Antigua and Barbuda","ATG",2023,0.851,28967.256,93293,"North America","Developed","Very High","High-income"
"Argentina","ARG",1990,0.733,17007.285,32755859,"South America","Developing","High","High-income"
"Argentina","ARG",1991,0.739,18295.61,33230247,"South America","Developing","High","High-income"
"Argentina","ARG",1992,0.743,19476.283,33693487,"South America","Developing","High","High-income"
"Argentina","ARG",1993,0.748,20791.346,34152666,"South America","Developing","High","High-income"
"Argentina","ARG",1994,0.753,21711.844,34613440,"South America","Developing","High","High-income"
"Argentina","ARG",1995,0.754,20819.5,35069968,"South America","Developing","High","High-income"
"Argentina","ARG",1996,0.76,21695.596,35513745,"South America","Developing","High","High-income"
"Argentina","ARG",1997,0.768,23172.158,35947739,"South America","Developing","High","High-income"
"Argentina","ARG",1998,0.772,23783.102,36372814,"South America","Developing","High","High-income"
"Argentina","ARG",1999,0.783,22714.512,36794636,"South America","Developing","High","High-income"
"Argentina","ARG",2000,0.789,22281.38,37213933,"South America","Developing","High","High-income"
"Argentina","ARG",2001,0.795,21066.459,37624762,"South America","Developing","High","High-income"
"Argentina","ARG",2002,0.795,18571.701,38029300,"South America","Developing","High","High-income"
"Argentina","ARG",2003,0.804,20005.139,38424224,"South America","Developed","Very High","High-income"
"Argentina","ARG",2004,0.808,21591.45,38815865,"South America","Developed","Very High","High-income"
"Argentina","ARG",2005,0.812,23262.408,39216734,"South America","Developed","Very High","High-income"
"Argentina","ARG",2006,0.822,24877.25,39622060,"South America","Developed","Very High","High-income"
"Argentina","ARG",2007,0.825,26850.664,40016709,"South America","Developed","Very High","High-income"
"Argentina","ARG",2008,0.833,27658.484,40424101,"South America","Developed","Very High","High-income"
"Argentina","ARG",2009,0.835,25747.197,40854783,"South America","Developed","Very High","High-income"
"Argentina","ARG",2010,0.844,28056.258,41288642,"South America","Developed","Very High","High-income"
"Argentina","ARG",2011,0.852,29425.76,41730610,"South America","Developed","Very High","High-income"
"Argentina","ARG",2012,0.85,28825.967,42161676,"South America","Developed","Very High","High-income"
"Argentina","ARG",2013,0.852,29227.66,42582408,"South America","Developed","Very High","High-income"
"Argentina","ARG",2014,0.855,28200.814,43024021,"South America","Developed","Very High","High-income"
"Argentina","ARG",2015,0.859,28669.207,43476961,"South America","Developed","Very High","High-income"
"Argentina","ARG",2016,0.857,27802.105,43900264,"South America","Developed","Very High","High-income"
"Argentina","ARG",2017,0.861,28334.904,44288844,"South America","Developed","Very High","High-income"
"Argentina","ARG",2018,0.861,27367.115,44654822,"South America","Developed","Very High","High-income"
"Argentina","ARG",2019,0.861,26629.553,44973412,"South America","Developed","Very High","High-income"
"Argentina","ARG",2020,0.851,23877.094,45191917,"South America","Developed","Very High","High-income"
"Argentina","ARG",2021,0.847,26300.273,45312226,"South America","Developed","Very High","High-income"
"Argentina","ARG",2022,0.858,27627.963,45407866,"South America","Developed","Very High","High-income"
"Argentina","ARG",2023,0.865,27104.98,45538356,"South America","Developed","Very High","High-income"
"Armenia","ARM",1990,0.663,6137.6006,3552069,"Asia","Developing","Medium","Upper-middle"
"Armenia","ARM",1991,0.652,5326.753,3613925,"Asia","Developing","Medium","Upper-middle"
"Armenia","ARM",1992,0.618,3136.7244,3571827,"Asia","Developing","Medium","Lower-middle"
"Armenia","ARM",1993,0.621,2958.8804,3453292,"Asia","Developing","Medium","Lower-middle"
"Armenia","ARM",1994,0.625,3200.8965,3364574,"Asia","Developing","Medium","Lower-middle"
"Armenia","ARM",1995,0.631,3480.7559,3307535,"Asia","Developing","Medium","Lower-middle"
"Armenia","ARM",1996,0.635,3717.3357,3278685,"Asia","Developing","Medium","Lower-middle"
"Armenia","ARM",1997,0.644,3879.1794,3246244,"Asia","Developing","Medium","Lower-middle"
"Armenia","ARM",1998,0.655,4211.5127,3208341,"Asia","Developing","Medium","Lower-middle"
"Armenia","ARM",1999,0.661,4406.9673,3167231,"Asia","Developing","Medium","Upper-middle"
"Armenia","ARM",2000,0.667,4589.0083,3125566,"Asia","Developing","Medium","Upper-middle"
"Armenia","ARM",2001,0.672,5044.1167,3084300,"Asia","Developing","Medium","Upper-middle"
"Armenia","ARM",2002,0.682,5731.3535,3055592,"Asia","Developing","Medium","Upper-middle"
"Armenia","ARM",2003,0.692,6569.2603,3038932,"Asia","Developing","Medium","Upper-middle"
"Armenia","ARM",2004,0.7,7299.4,3022490,"Asia","Developing","High","Upper-middle"
"Armenia","ARM",2005,0.711,8362.9,3006305,"Asia","Developing","High","Upper-middle"
"Armenia","ARM",2006,0.725,9525.231,2990317,"Asia","Developing","High","Upper-middle"
"Armenia","ARM",2007,0.739,10898.849,2974777,"Asia","Developing","High","Upper-middle"
"Armenia","ARM",2008,0.743,11727.482,2959943,"Asia","Developing","High","Upper-middle"
"Armenia","ARM",2009,0.741,10143.235,2945458,"Asia","Developing","High","Upper-middle"
"Armenia","ARM",2010,0.747,10438.564,2931041,"Asia","Developing","High","Upper-middle"
"Armenia","ARM",2011,0.752,10990.177,2923214,"Asia","Developing","High","Upper-middle"
"Armenia","ARM",2012,0.761,11796.274,2922474,"Asia","Developing","High","Upper-middle"
"Armenia","ARM",2013,0.766,12194.019,2922487,"Asia","Developing","High","Upper-middle"
"Armenia","ARM",2014,0.772,12667.376,2922390,"Asia","Developing","High","Upper-middle"
"Armenia","ARM",2015,0.777,13112.76,2921124,"Asia","Developing","High","Upper-middle"
"Armenia","ARM",2016,0.783,13192.994,2918753,"Asia","Developing","High","Upper-middle"
"Armenia","ARM",2017,0.785,14243.875,2914918,"Asia","Developing","High","High-income"
"Armenia","ARM",2018,0.789,15037.045,2909917,"Asia","Developing","High","High-income"
"Armenia","ARM",2019,0.796,16215.36,2903922,"Asia","Developing","High","High-income"
"Armenia","ARM",2020,0.761,15052.936,2890849,"Asia","Developing","High","High-income"
"Armenia","ARM",2021,0.786,15921.705,2870293,"Asia","Developing","High","High-income"
"Armenia","ARM",2022,0.801,17886.178,2880829,"Asia","Developed","Very High","High-income"
"Armenia","ARM",2023,0.811,19230.19,2943346,"Asia","Developed","Very High","High-income"
"Australia","AUS",1990,0.867,35669.64,17126249,"Oceania","Developed","Very High","High-income"
"Australia","AUS",1991,0.868,35083.246,17353139,"Oceania","Developed","Very High","High-income"
"Australia","AUS",1992,0.868,34841.23,17549234,"Oceania","Developed","Very High","High-income"
"Australia","AUS",1993,0.872,35930.12,17722869,"Oceania","Developed","Very High","High-income"
"Australia","AUS",1994,0.873,37002.195,17897388,"Oceania","Developed","Very High","High-income"
"Australia","AUS",1995,0.882,38014.33,18095295,"Oceania","Developed","Very High","High-income"
"Australia","AUS",1996,0.884,39006.79,18305265,"Oceania","Developed","Very High","High-income"
"Australia","AUS",1997,0.887,40097,18504864,"Oceania","Developed","Very High","High-income"
"Australia","AUS",1998,0.891,41550.586,18701660,"Oceania","Developed","Very High","High-income"
"Australia","AUS",1999,0.893,43164.816,18909934,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2000,0.897,44347.07,19132426,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2001,0.9,44667.926,19365383,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2002,0.902,45920.18,19595306,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2003,0.906,46798.09,19819398,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2004,0.91,48256.25,20046631,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2005,0.914,49176.06,20294430,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2006,0.917,49853.72,20590515,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2007,0.919,50799.26,20954497,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2008,0.924,51577.074,21370545,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2009,0.927,51481.25,21782958,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2010,0.929,51811.78,22141527,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2011,0.933,52326.766,22479723,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2012,0.938,53435.18,22852597,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2013,0.935,53890.105,23236224,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2014,0.937,54470.16,23595552,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2015,0.938,54867.773,23947955,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2016,0.939,55507.977,24329914,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2017,0.94,55846.03,24730998,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2018,0.945,56600.438,25119651,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2019,0.947,56981.395,25482660,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2020,0.95,56215.58,25743732,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2021,0.954,57321.562,25956358,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2022,0.952,58997.703,26200929,"Oceania","Developed","Very High","High-income"
"Australia","AUS",2023,0.958,59552.88,26451074,"Oceania","Developed","Very High","High-income"
"Austria","AUT",1990,0.832,43728.62,7679582,"Europe","Developed","Very High","High-income"
"Austria","AUT",1991,0.835,44784.227,7757088,"Europe","Developed","Very High","High-income"
"Austria","AUT",1992,0.841,45221.36,7842667,"Europe","Developed","Very High","High-income"
"Austria","AUT",1993,0.845,45086.26,7907434,"Europe","Developed","Very High","High-income"
"Austria","AUT",1994,0.851,45991.938,7938100,"Europe","Developed","Very High","High-income"
"Austria","AUT",1995,0.856,47146.754,7950275,"Europe","Developed","Very High","High-income"
"Austria","AUT",1996,0.861,48126.39,7960868,"Europe","Developed","Very High","High-income"
"Austria","AUT",1997,0.865,49103.43,7969749,"Europe","Developed","Very High","High-income"
"Austria","AUT",1998,0.87,50762.824,7978413,"Europe","Developed","Very High","High-income"
"Austria","AUT",1999,0.874,52570.1,7993849,"Europe","Developed","Very High","High-income"
"Austria","AUT",2000,0.879,54116.547,8012872,"Europe","Developed","Very High","High-income"
"Austria","AUT",2001,0.883,54619.77,8042189,"Europe","Developed","Very High","High-income"
"Austria","AUT",2002,0.887,55158.492,8081595,"Europe","Developed","Very High","High-income"
"Austria","AUT",2003,0.889,55517.06,8122551,"Europe","Developed","Very High","High-income"
"Austria","AUT",2004,0.895,56589.035,8173453,"Europe","Developed","Very High","High-income"
"Austria","AUT",2005,0.898,57508.98,8229148,"Europe","Developed","Very High","High-income"
"Austria","AUT",2006,0.902,59096.01,8269852,"Europe","Developed","Very High","High-income"
"Austria","AUT",2007,0.905,61128.55,8296906,"Europe","Developed","Very High","High-income"
"Austria","AUT",2008,0.907,61823.1,8323196,"Europe","Developed","Very High","High-income"
"Austria","AUT",2009,0.907,59450.027,8345019,"Europe","Developed","Very High","High-income"
"Austria","AUT",2010,0.912,60380.14,8365050,"Europe","Developed","Very High","High-income"
"Austria","AUT",2011,0.915,61938.617,8393226,"Europe","Developed","Very High","High-income"
"Austria","AUT",2012,0.916,62044.215,8431540,"Europe","Developed","Very High","High-income"
"Austria","AUT",2013,0.915,61524.96,8481365,"Europe","Developed","Very High","High-income"
"Austria","AUT",2014,0.919,61507.38,8547760,"Europe","Developed","Very High","High-income"
"Austria","AUT",2015,0.919,61614.56,8643981,"Europe","Developed","Very High","High-income"
"Austria","AUT",2016,0.921,62242.336,8737874,"Europe","Developed","Very High","High-income"
"Austria","AUT",2017,0.922,63216,8798734,"Europe","Developed","Very High","High-income"
"Austria","AUT",2018,0.925,64471.633,8841608,"Europe","Developed","Very High","High-income"
"Austria","AUT",2019,0.928,65312.023,8880830,"Europe","Developed","Very High","High-income"
"Austria","AUT",2020,0.925,60931.94,8921362,"Europe","Developed","Very High","High-income"
"Austria","AUT",2021,0.93,63576.242,8967006,"Europe","Developed","Very High","High-income"
"Austria","AUT",2022,0.927,66294.72,9064633,"Europe","Developed","Very High","High-income"
"Austria","AUT",2023,0.93,65015.133,9130386,"Europe","Developed","Very High","High-income"
"Azerbaijan","AZE",1995,0.618,4147.9746,7719236,"Asia","Developing","Medium","Lower-middle"
"Azerbaijan","AZE",1996,0.622,4159.5977,7830936,"Asia","Developing","Medium","Lower-middle"
"Azerbaijan","AZE",1997,0.626,4358.605,7936177,"Asia","Developing","Medium","Upper-middle"
"Azerbaijan","AZE",1998,0.636,4749.1743,8025764,"Asia","Developing","Medium","Upper-middle"
"Azerbaijan","AZE",1999,0.646,5056.0464,8100413,"Asia","Developing","Medium","Upper-middle"
"Azerbaijan","AZE",2000,0.652,5571.3096,8174736,"Asia","Developing","Medium","Upper-middle"
"Azerbaijan","AZE",2001,0.66,6075.6147,8251722,"Asia","Developing","Medium","Upper-middle"
"Azerbaijan","AZE",2002,0.669,6599.6577,8326090,"Asia","Developing","Medium","Upper-middle"
"Azerbaijan","AZE",2003,0.676,7218.4717,8400486,"Asia","Developing","Medium","Upper-middle"
"Azerbaijan","AZE",2004,0.682,7817.7163,8489831,"Asia","Developing","Medium","Upper-middle"
"Azerbaijan","AZE",2005,0.692,9901.927,8597205,"Asia","Developing","Medium","Upper-middle"
"Azerbaijan","AZE",2006,0.711,13172.581,8711329,"Asia","Developing","High","Upper-middle"
"Azerbaijan","AZE",2007,0.72,16280.084,8828270,"Asia","Developing","High","High-income"
"Azerbaijan","AZE",2008,0.731,17656.963,8942598,"Asia","Developing","High","High-income"
"Azerbaijan","AZE",2009,0.74,18901.887,9046297,"Asia","Developing","High","High-income"
"Azerbaijan","AZE",2010,0.744,19621.385,9146807,"Asia","Developing","High","High-income"
